Something is in here be carefull,,
Product,Star,Price
Honor Pad 5 64 GB 10.1 inch with Wi-Fi+4G Tablet (Glacial Blue),4.4,"Rs. 18,999"
Honor MediaPad T3 10 32 GB 9.6 inch with Wi-Fi+4G Tablet (Luxurious Gold),n.a.,"Rs. 13,999"
Samsung Galaxy Tab A 8.0 Wifi 32 GB 8 inch with Wi-Fi Only Tablet (Black),4.3,-1
Lenovo Tab V7 64 GB 6.9 Inch with Wi-Fi+4G Tablet (Onyx Black),not available,"Rs. 12,999"
Alcatel 3T8 16 GB 8 inch with Wi-Fi+4G Tablet (Suede blue),4.1,n.a.
Honor Pad 5 64 GB 8 inch with Wi-Fi+4G Tablet (Glacial Blue),-1,"Rs. 17,499"
Samsung Galaxy Tab A 8.0 32 GB 8 inch with Wi-Fi+4G Tablet (Black),4.3,"Rs. 12,699"
Apple iPad (6th Gen) 32 GB 9.7 inch with Wi-Fi Only (Space Grey),4.7,"Rs. 24,999"
Apple iPad (7th Gen) 32 GB 10.2 inch with Wi-Fi Only (Space Grey),4.6,"Rs. 29,290"
Alcatel 3T8 16 GB 8 inch with Wi-Fi+4G Tablet (Metallic Black),4.1,"Rs. 7,999"
Apple iPad (6th Gen) 32 GB 9.7 inch with Wi-Fi Only (Gold),4.7,"Rs. 25,219"
Samsung Galaxy Tab A 8.0 32 GB 8 inch with Wi-Fi+4G Tablet (Silver),4.3,"Rs. 12,695"
Honor Pad 5 32 GB 10.1 inch with Wi-Fi+4G Tablet (Glacial Blue),4.4,"Rs. 16,999"
Apple iPad (7th Gen) 32 GB 10.2 inch with Wi-Fi Only (Silver),4.6,"Rs. 28,990"
Alcatel 3T 10 16 GB 10 inch with Wi-Fi+4G Tablet (Prime Black),4,"Rs. 8,999"
Lenovo Yoga 3 (2 GB RAM) 16 GB 8 inch with Wi-Fi+4G Tablet (Slate Black),4.3,"Rs. 13,990"
Apple iPad (7th Gen) 128 GB 10.2 inch with Wi-Fi Only (Gold),4.6,"Rs. 37,190"
Apple iPad (7th Gen) 128 GB 10.2 inch with Wi-Fi Only (Space Grey),4.6,"Rs. 36,999"
Huawei MediaPad M5 Lite 32 GB 10.1 inch with Wi-Fi+4G Tablet (Champagne Gold),4.2,"Rs. 20,999"
Apple iPad (6th Gen) 128 GB 9.7 inch with Wi-Fi Only (Gold),4.7,"Rs. 32,999"
Honor MediaPad T3 32 GB 8 inch with Wi-Fi+4G Tablet (Luxurious Gold),4.2,"Rs. 11,999"
Apple iPad (6th Gen) 32 GB 9.7 inch with Wi-Fi Only (Silver),4.7,"Rs. 25,219"
Lenovo Tab M10 (HD) 32 GB 10.1 inch with Wi-Fi+4G Tablet (Slate Black),4.2,"Rs. 13,990"
Honor MediaPad T3 16 GB 8 inch with Wi-Fi+4G Tablet (Luxurious Gold),4.2,"Rs. 9,999"
